Parameter,Value
Start Frequency,10.0
End Frequency,100.0
Frequency Duration,1.0
Smooth Transition,True
Pause Duration,1.0
Amplitude,0.85
Frequency Step,10.0
Total Duration,10.0
Gradual Amplitude Increase,False
Amplitude Rise Time,0.5
Amplitude Start,0.1
Amplitude End,0.2
Sample Rate,96000

Sample Number,Timestamp,Sine value,Frequency (Hz)
52321,2025-04-09 15:28:22.603,0.59431,14.91
52801,2025-04-09 15:28:22.608,0.83735,14.95
53281,2025-04-09 15:28:22.613,0.76396,15.0
53761,2025-04-09 15:28:22.618,0.3982,15.04
54241,2025-04-09 15:28:22.623,-0.12256,15.09
54721,2025-04-09 15:28:22.628,-0.59764,15.13
55201,2025-04-09 15:28:22.633,-0.84005,15.18
55681,2025-04-09 15:28:22.638,-0.75094,15.22
56161,2025-04-09 15:28:22.643,-0.36178,15.27
56641,2025-04-09 15:28:22.648,0.17448,15.31
57121,2025-04-09 15:28:22.653,0.64191,15.36
57601,2025-04-09 15:28:22.658,0.84832,15.4
58081,2025-04-09 15:28:22.663,0.70533,15.45
58561,2025-04-09 15:28:22.668,0.26823,15.49
59041,2025-04-09 15:28:22.673,-0.28304,15.54
59521,2025-04-09 15:28:22.678,-0.71654,15.58
60001,2025-04-09 15:28:22.683,-0.84591,15.63
60481,2025-04-09 15:28:22.688,-0.61188,15.67
60961,2025-04-09 15:28:22.693,-0.11168,15.72
61441,2025-04-09 15:28:22.698,0.43912,15.76
61921,2025-04-09 15:28:22.703,0.79834,15.81
62401,2025-04-09 15:28:22.708,0.80417,15.85
62881,2025-04-09 15:28:22.713,0.4499,15.9
63361,2025-04-09 15:28:22.718,-0.10867,15.94
63841,2025-04-09 15:28:22.723,-0.61973,15.99
64321,2025-04-09 15:28:22.728,-0.84836,16.03
64801,2025-04-09 15:28:22.733,-0.68568,16.08
65281,2025-04-09 15:28:22.738,-0.20308,16.12
65761,2025-04-09 15:28:22.743,0.37649,16.17
66241,2025-04-09 15:28:22.748,0.77989,16.21
66721,2025-04-09 15:28:22.753,0.81285,16.26
67201,2025-04-09 15:28:22.758,0.45543,16.3
67681,2025-04-09 15:28:22.763,-0.12362,16.35
68161,2025-04-09 15:28:22.768,-0.64428,16.39
68641,2025-04-09 15:28:22.773,-0.84998,16.44
69121,2025-04-09 15:28:22.778,-0.63545,16.48
69601,2025-04-09 15:28:22.783,-0.10319,16.53
70081,2025-04-09 15:28:22.788,0.48264,16.57
70561,2025-04-09 15:28:22.793,0.82592,16.62
71041,2025-04-09 15:28:22.798,0.74893,16.66
71521,2025-04-09 15:28:22.803,0.28677,16.71
72001,2025-04-09 15:28:22.808,-0.32531,16.75
72481,2025-04-09 15:28:22.813,-0.76963,16.8
72961,2025-04-09 15:28:22.818,-0.81099,16.84
73441,2025-04-09 15:28:22.823,-0.42332,16.89
73921,2025-04-09 15:28:22.828,0.19118,16.93
74401,2025-04-09 15:28:22.833,0.70491,16.98
74881,2025-04-09 15:28:22.838,0.83902,17.02
75361,2025-04-09 15:28:22.843,0.51661,17.07
75841,2025-04-09 15:28:22.848,-0.09012,17.11
76321,2025-04-09 15:28:22.853,-0.64887,17.16
76801,2025-04-09 15:28:22.858,-0.84832,17.2
77281,2025-04-09 15:28:22.863,-0.57312,17.25
77761,2025-04-09 15:28:22.868,0.0262,17.29
78241,2025-04-09 15:28:22.873,0.61238,17.34
78721,2025-04-09 15:28:22.878,0.84996,17.38
79201,2025-04-09 15:28:22.883,0.59865,17.43
79681,2025-04-09 15:28:22.888,-0.00057,17.47
80161,2025-04-09 15:28:22.893,-0.60116,17.52
80641,2025-04-09 15:28:22.898,-0.85,17.56
81121,2025-04-09 15:28:22.903,-0.59637,17.61
81601,2025-04-09 15:28:22.908,0.01339,17.65
82081,2025-04-09 15:28:22.913,0.61681,17.7
82561,2025-04-09 15:28:22.918,0.84931,17.74
83041,2025-04-09 15:28:22.923,0.56598,17.79
83521,2025-04-09 15:28:22.928,-0.0646,17.83
84001,2025-04-09 15:28:22.933,-0.65708,17.88
84481,2025-04-09 15:28:22.938,-0.84356,17.92
84961,2025-04-09 15:28:22.943,-0.50379,17.97
85441,2025-04-09 15:28:22.948,0.15354,18.01
85921,2025-04-09 15:28:22.953,0.71547,18.06
86401,2025-04-09 15:28:22.958,0.82329,18.1
86881,2025-04-09 15:28:22.963,0.40371,18.15
87361,2025-04-09 15:28:22.968,-0.27739,18.19
87841,2025-04-09 15:28:22.973,-0.78016,18.24
88321,2025-04-09 15:28:22.978,-0.77446,18.28
88801,2025-04-09 15:28:22.983,-0.25945,18.33
89281,2025-04-09 15:28:22.988,0.42858,18.37
89761,2025-04-09 15:28:22.993,0.83291,18.42
90241,2025-04-09 15:28:22.998,0.68003,18.46
90721,2025-04-09 15:28:23.003,0.06811,18.51
91201,2025-04-09 15:28:23.008,-0.59156,18.55
91681,2025-04-09 15:28:23.013,-0.84886,18.6
92161,2025-04-09 15:28:23.018,-0.52346,18.64
92641,2025-04-09 15:28:23.023,0.16469,18.69
93121,2025-04-09 15:28:23.028,0.73994,18.73
93601,2025-04-09 15:28:23.033,0.7986,18.78
94081,2025-04-09 15:28:23.038,0.29491,18.82
94561,2025-04-09 15:28:23.043,-0.41898,18.87
95041,2025-04-09 15:28:23.048,-0.83584,18.91
95521,2025-04-09 15:28:23.053,-0.65414,18.96
96001,2025-04-09 15:28:23.058,5e-05,19.0
96481,2025-04-09 15:28:23.063,0.65573,19.05
96961,2025-04-09 15:28:23.068,0.83402,19.09
97441,2025-04-09 15:28:23.073,0.39994,19.14
97921,2025-04-09 15:28:23.078,-0.33075,19.18
98401,2025-04-09 15:28:23.083,-0.81719,19.23
98881,2025-04-09 15:28:23.088,-0.69355,19.27
99361,2025-04-09 15:28:23.093,-0.04785,19.32
99841,2025-04-09 15:28:23.098,0.63551,19.36
100321,2025-04-09 15:28:23.103,0.83666,19.41
100801,2025-04-09 15:28:23.108,0.39769,19.45
101281,2025-04-09 15:28:23.113,-0.3485,19.5
101761,2025-04-09 15:28:23.118,-0.8264,19.54
102241,2025-04-09 15:28:23.123,-0.66157,19.59
102721,2025-04-09 15:28:23.128,0.02195,19.63
103201,2025-04-09 15:28:23.133,0.68965,19.68
103681,2025-04-09 15:28:23.138,0.81225,19.72
104161,2025-04-09 15:28:23.143,0.28775,19.77
104641,2025-04-09 15:28:23.148,-0.4685,19.81
105121,2025-04-09 15:28:23.153,-0.84871,19.86
105601,2025-04-09 15:28:23.158,-0.54176,19.9
106081,2025-04-09 15:28:23.163,0.20743,19.95
106561,2025-04-09 15:28:23.168,0.78815,19.99
107041,2025-04-09 15:28:23.173,0.72042,20.04
107521,2025-04-09 15:28:23.178,0.05544,20.08
108001,2025-04-09 15:28:23.183,-0.6571,20.13
108481,2025-04-09 15:28:23.188,-0.82042,20.17
108961,2025-04-09 15:28:23.193,-0.29276,20.22
109441,2025-04-09 15:28:23.198,0.48399,20.26
109921,2025-04-09 15:28:23.203,0.84999,20.31
110401,2025-04-09 15:28:23.208,0.4887,20.35
110881,2025-04-09 15:28:23.213,-0.29414,20.4
111361,2025-04-09 15:28:23.218,-0.82384,20.44
111841,2025-04-09 15:28:23.223,-0.63746,20.49
112321,2025-04-09 15:28:23.228,0.10713,20.53
