Sample Number,Timestamp,Temperature (°C),Pressure (hPa),Humidity (%)
1,2025-04-09 15:26:27.633,96.506,1550.45,35.95
7,2025-04-09 15:26:27.635,24.238,1003.59,35.95
8,2025-04-09 15:26:27.759,24.325,1003.59,35.95
2,2025-04-09 15:26:27.837,24.344,1003.6,35.83
3,2025-04-09 15:26:27.992,127.881,1003.61,35.93
9,2025-04-09 15:26:28.043,24.361,1003.57,35.76
10,2025-04-09 15:26:28.112,24.395,1003.57,35.82
4,2025-04-09 15:26:28.163,24.395,1003.62,35.73
5,2025-04-09 15:26:28.361,130.342,1155.3,35.96
11,2025-04-09 15:26:28.367,24.287,1003.59,35.96
6,2025-04-09 15:26:28.633,24.265,1550.58,35.94
12,2025-04-09 15:26:28.636,24.265,1003.58,35.94
7,2025-04-09 15:26:28.764,129.727,1188.54,35.97
13,2025-04-09 15:26:28.768,24.359,1003.59,35.97
14,2025-04-09 15:26:28.964,-127.28,529.39,35.95
8,2025-04-09 15:26:28.967,-116.234,949.9,35.95
15,2025-04-09 15:26:29.114,24.38,1003.61,35.92
9,2025-04-09 15:26:29.159,24.38,1003.58,35.72
10,2025-04-09 15:26:29.400,111.884,1174.15,35.93
16,2025-04-09 15:26:29.445,24.327,1003.58,35.69
11,2025-04-09 15:26:29.564,-127.28,529.27,35.91
17,2025-04-09 15:26:29.566,-116.234,949.88,35.91
12,2025-04-09 15:26:29.837,24.375,1550.72,35.92
18,2025-04-09 15:26:29.840,131.573,1003.59,35.92
13,2025-04-09 15:26:30.042,24.402,1003.6,35.68
19,2025-04-09 15:26:30.044,135.881,1357.98,35.68
14,2025-04-09 15:26:30.246,24.419,1003.59,35.71
20,2025-04-09 15:26:30.247,134.65,1216.07,35.71
15,2025-04-09 15:26:30.375,24.399,1003.64,35.9
21,2025-04-09 15:26:30.445,137.727,1003.62,35.78
16,2025-04-09 15:26:30.568,148.805,1209.45,35.87
22,2025-04-09 15:26:30.613,24.404,1003.63,35.69
23,2025-04-09 15:26:30.731,24.423,1493.73,35.91
17,2025-04-09 15:26:30.803,24.33,1003.59,35.76
18,2025-04-09 15:26:30.973,134.035,1003.6,35.88
24,2025-04-09 15:26:30.977,123.574,1003.58,35.88
19,2025-04-09 15:26:31.181,24.363,1003.6,35.87
25,2025-04-09 15:26:31.184,24.335,1003.61,35.87
20,2025-04-09 15:26:31.377,129.727,1003.62,35.88
26,2025-04-09 15:26:31.385,24.337,1003.6,35.88
21,2025-04-09 15:26:31.594,24.332,1003.61,35.88
27,2025-04-09 15:26:31.641,24.311,1003.62,35.65
28,2025-04-09 15:26:31.770,24.383,1003.6,35.88
22,2025-04-09 15:26:31.848,24.395,1003.61,35.78
23,2025-04-09 15:26:32.015,-6.817,1003.6,35.66
29,2025-04-09 15:26:32.016,24.421,519.52,35.66
24,2025-04-09 15:26:32.172,24.409,529.27,35.88
30,2025-04-09 15:26:32.175,24.354,949.88,35.88
25,2025-04-09 15:26:32.376,-127.28,529.31,35.86
31,2025-04-09 15:26:32.378,-117.461,949.9,35.86
32,2025-04-09 15:26:32.571,24.409,519.58,35.87
26,2025-04-09 15:26:32.573,24.409,949.84,35.87
27,2025-04-09 15:26:32.772,24.383,1168.64,35.88
33,2025-04-09 15:26:32.777,24.315,1003.58,35.88
28,2025-04-09 15:26:32.921,24.349,1003.58,35.86
34,2025-04-09 15:26:32.970,124.804,1003.6,35.64
29,2025-04-09 15:26:33.140,24.253,1003.6,35.87
35,2025-04-09 15:26:33.207,24.253,1003.57,35.73
36,2025-04-09 15:26:33.449,119.267,1550.63,35.87
30,2025-04-09 15:26:33.450,24.327,1003.6,35.87
37,2025-04-09 15:26:33.600,24.363,1493.86,35.85
31,2025-04-09 15:26:33.647,24.38,1003.59,35.61
32,2025-04-09 15:26:33.825,138.342,1003.6,35.86
38,2025-04-09 15:26:33.826,24.402,1003.59,35.86
33,2025-04-09 15:26:34.010,24.443,1224.78,35.85
39,2025-04-09 15:26:34.014,24.39,1003.61,35.85
40,2025-04-09 15:26:34.173,147.574,1194.05,35.84
34,2025-04-09 15:26:34.176,24.438,1003.59,35.84
35,2025-04-09 15:26:34.376,24.313,1493.69,35.89
41,2025-04-09 15:26:34.447,24.313,1003.58,35.74
36,2025-04-09 15:26:34.576,132.804,983.5,35.81
42,2025-04-09 15:26:34.582,-6.817,1003.62,35.81
37,2025-04-09 15:26:34.776,138.958,1190.77,35.87
43,2025-04-09 15:26:34.820,24.363,1003.63,35.62
38,2025-04-09 15:26:34.918,24.39,1003.63,35.85
44,2025-04-09 15:26:34.973,24.39,1003.59,35.63
39,2025-04-09 15:26:35.177,125.42,530.69,35.87
45,2025-04-09 15:26:35.178,-127.28,949.95,35.87
40,2025-04-09 15:26:35.379,121.113,1003.59,35.87
46,2025-04-09 15:26:35.384,119.882,1003.62,35.87
47,2025-04-09 15:26:35.577,24.361,529.31,35.84
41,2025-04-09 15:26:35.578,-127.28,949.91,35.84
42,2025-04-09 15:26:35.778,-127.28,529.31,35.84
48,2025-04-09 15:26:35.780,-116.234,949.91,35.84
43,2025-04-09 15:26:35.977,24.411,1369.88,35.83
49,2025-04-09 15:26:36.021,24.399,1003.61,35.61
