Parameter,Value
Start Frequency,10.0
End Frequency,100.0
Frequency Duration,1.0
Smooth Transition,True
Pause Duration,1.0
Amplitude,0.15
Frequency Step,10.0
Total Duration,10.0
Gradual Amplitude Increase,False
Amplitude Rise Time,0.5
Amplitude Start,0.1
Amplitude End,0.2
Sample Rate,96000

Sample Number,Timestamp,Sine value,Frequency (Hz)
1,2025-04-09 15:26:26.743,0.0,10.0
481,2025-04-09 15:26:26.748,0.04655,10.05
961,2025-04-09 15:26:26.753,0.08885,10.09
1441,2025-04-09 15:26:26.758,0.12246,10.14
1921,2025-04-09 15:26:26.763,0.14367,10.18
2401,2025-04-09 15:26:26.768,0.14991,10.23
2881,2025-04-09 15:26:26.773,0.14012,10.27
3361,2025-04-09 15:26:26.778,0.11496,10.32
3841,2025-04-09 15:26:26.783,0.07684,10.36
4321,2025-04-09 15:26:26.788,0.02975,10.41
4801,2025-04-09 15:26:26.793,-0.02114,10.45
5281,2025-04-09 15:26:26.798,-0.06996,10.5
5761,2025-04-09 15:26:26.803,-0.11088,10.54
6241,2025-04-09 15:26:26.808,-0.13877,10.59
6721,2025-04-09 15:26:26.813,-0.1499,10.63
7201,2025-04-09 15:26:26.818,-0.14248,10.68
7681,2025-04-09 15:26:26.823,-0.11701,10.72
8161,2025-04-09 15:26:26.828,-0.07634,10.77
8641,2025-04-09 15:26:26.833,-0.02542,10.81
9121,2025-04-09 15:26:26.838,0.02924,10.86
9601,2025-04-09 15:26:26.843,0.08037,10.9
10081,2025-04-09 15:26:26.848,0.12092,10.95
10561,2025-04-09 15:26:26.853,0.14503,10.99
11041,2025-04-09 15:26:26.858,0.14893,11.04
11521,2025-04-09 15:26:26.863,0.13163,11.08
12001,2025-04-09 15:26:26.868,0.09516,11.13
12481,2025-04-09 15:26:26.873,0.04447,11.17
12961,2025-04-09 15:26:26.878,-0.0132,11.22
13441,2025-04-09 15:26:26.883,-0.06927,11.26
13921,2025-04-09 15:26:26.888,-0.11511,11.31
14401,2025-04-09 15:26:26.893,-0.14337,11.35
14881,2025-04-09 15:26:26.898,-0.14922,11.4
15361,2025-04-09 15:26:26.903,-0.13126,11.44
15841,2025-04-09 15:26:26.908,-0.09192,11.49
16321,2025-04-09 15:26:26.913,-0.03721,11.53
16801,2025-04-09 15:26:26.918,0.02405,11.58
17281,2025-04-09 15:26:26.923,0.08164,11.62
17761,2025-04-09 15:26:26.928,0.12564,11.67
18241,2025-04-09 15:26:26.933,0.14814,11.71
18721,2025-04-09 15:26:26.938,0.14475,11.76
19201,2025-04-09 15:26:26.943,0.11558,11.8
19681,2025-04-09 15:26:26.948,0.06538,11.85
20161,2025-04-09 15:26:26.953,0.00292,11.89
20641,2025-04-09 15:26:26.958,-0.06046,11.94
21121,2025-04-09 15:26:26.963,-0.11289,11.98
21601,2025-04-09 15:26:26.968,-0.14421,12.03
22081,2025-04-09 15:26:26.973,-0.14799,12.07
22561,2025-04-09 15:26:26.978,-0.12298,12.12
23041,2025-04-09 15:26:26.983,-0.07358,12.16
23521,2025-04-09 15:26:26.988,-0.00921,12.21
24001,2025-04-09 15:26:26.993,0.0574,12.25
24481,2025-04-09 15:26:26.998,0.11266,12.3
24961,2025-04-09 15:26:27.003,0.14491,12.34
25441,2025-04-09 15:26:27.008,0.14697,12.39
25921,2025-04-09 15:26:27.013,0.11788,12.43
26401,2025-04-09 15:26:27.018,0.06333,12.48
26881,2025-04-09 15:26:27.023,-0.00528,12.52
27361,2025-04-09 15:26:27.028,-0.07311,12.57
27841,2025-04-09 15:26:27.033,-0.12506,12.61
28321,2025-04-09 15:26:27.038,-0.14917,12.66
28801,2025-04-09 15:26:27.043,-0.13947,12.7
29281,2025-04-09 15:26:27.048,-0.09761,12.75
29761,2025-04-09 15:26:27.053,-0.03281,12.79
30241,2025-04-09 15:26:27.058,0.04006,12.84
30721,2025-04-09 15:26:27.063,0.10378,12.88
31201,2025-04-09 15:26:27.068,0.14284,12.93
31681,2025-04-09 15:26:27.073,0.14733,12.97
32161,2025-04-09 15:26:27.078,0.11556,13.02
32641,2025-04-09 15:26:27.083,0.05487,13.06
33121,2025-04-09 15:26:27.088,-0.01995,13.11
33601,2025-04-09 15:26:27.093,-0.09006,13.15
34081,2025-04-09 15:26:27.098,-0.13737,13.2
34561,2025-04-09 15:26:27.103,-0.1492,13.24
35041,2025-04-09 15:26:27.108,-0.12189,13.29
35521,2025-04-09 15:26:27.113,-0.06207,13.33
36001,2025-04-09 15:26:27.118,0.0147,13.38
36481,2025-04-09 15:26:27.123,0.08786,13.42
36961,2025-04-09 15:26:27.128,0.1373,13.47
37441,2025-04-09 15:26:27.133,0.14894,13.51
37921,2025-04-09 15:26:27.138,0.11897,13.56
38401,2025-04-09 15:26:27.143,0.05522,13.6
38881,2025-04-09 15:26:27.148,-0.02461,13.65
39361,2025-04-09 15:26:27.153,-0.0977,13.69
39841,2025-04-09 15:26:27.158,-0.14267,13.74
40321,2025-04-09 15:26:27.163,-0.14583,13.78
40801,2025-04-09 15:26:27.168,-0.10565,13.83
41281,2025-04-09 15:26:27.173,-0.03355,13.87
41761,2025-04-09 15:26:27.178,0.04906,13.92
42241,2025-04-09 15:26:27.183,0.11701,13.96
42721,2025-04-09 15:26:27.188,0.14907,14.01
43201,2025-04-09 15:26:27.193,0.1347,14.05
43681,2025-04-09 15:26:27.198,0.07779,14.1
44161,2025-04-09 15:26:27.203,-0.00415,14.14
44641,2025-04-09 15:26:27.208,-0.08511,14.19
45121,2025-04-09 15:26:27.213,-0.1388,14.23
45601,2025-04-09 15:26:27.218,-0.14723,14.28
46081,2025-04-09 15:26:27.223,-0.10699,14.32
46561,2025-04-09 15:26:27.228,-0.03085,14.37
47041,2025-04-09 15:26:27.233,0.05601,14.41
47521,2025-04-09 15:26:27.238,0.12418,14.46
48001,2025-04-09 15:26:27.243,0.15,14.5
48481,2025-04-09 15:26:27.248,0.12394,14.55
48961,2025-04-09 15:26:27.253,0.05443,14.59
49441,2025-04-09 15:26:27.258,-0.03458,14.64
49921,2025-04-09 15:26:27.263,-0.11164,14.68
50401,2025-04-09 15:26:27.268,-0.14889,14.73
50881,2025-04-09 15:26:27.273,-0.1323,14.77
51361,2025-04-09 15:26:27.278,-0.06723,14.82
51841,2025-04-09 15:26:27.283,0.02291,14.86
52321,2025-04-09 15:26:27.288,0.10488,14.91
52801,2025-04-09 15:26:27.293,0.14777,14.95
53281,2025-04-09 15:26:27.298,0.13482,15.0
53761,2025-04-09 15:26:27.303,0.07027,15.04
54241,2025-04-09 15:26:27.308,-0.02163,15.09
54721,2025-04-09 15:26:27.313,-0.10547,15.13
