Sample Number,Timestamp,Temperature (°C),Pressure (hPa),Humidity (%)
53,2025-04-09 16:44:15.647,-127.28,907.16,35.42
58,2025-04-09 16:44:15.840,24.906,1002.97,35.4
54,2025-04-09 16:44:15.909,24.906,1002.96,35.26
55,2025-04-09 16:44:16.038,24.935,868.57,35.38
59,2025-04-09 16:44:16.042,-39.924,1002.94,35.38
56,2025-04-09 16:44:16.194,24.978,1002.97,35.4
60,2025-04-09 16:44:16.276,24.949,1002.97,35.3
61,2025-04-09 16:44:16.394,24.971,1002.97,35.37
57,2025-04-09 16:44:16.476,24.908,1002.97,35.31
62,2025-04-09 16:44:16.637,24.935,517.37,35.36
58,2025-04-09 16:44:16.638,24.935,948.37,35.36
63,2025-04-09 16:44:16.841,24.834,902.77,35.35
59,2025-04-09 16:44:16.842,-65.709,1002.91,35.35
64,2025-04-09 16:44:16.995,24.927,1002.96,35.36
60,2025-04-09 16:44:17.075,24.923,1002.97,35.29
65,2025-04-09 16:44:17.238,24.894,1002.98,35.37
61,2025-04-09 16:44:17.314,24.918,1003.0,35.26
62,2025-04-09 16:44:17.473,24.92,1552.17,35.34
66,2025-04-09 16:44:17.476,24.956,1002.97,35.34
63,2025-04-09 16:44:17.638,24.908,1002.97,35.34
67,2025-04-09 16:44:17.645,24.963,1002.95,35.34
68,2025-04-09 16:44:17.842,-6.817,1002.97,35.33
64,2025-04-09 16:44:17.915,24.896,1002.99,35.22
69,2025-04-09 16:44:17.996,24.949,1002.99,35.25
65,2025-04-09 16:44:18.076,24.951,1002.97,35.28
70,2025-04-09 16:44:18.236,24.963,1002.97,35.31
66,2025-04-09 16:44:18.283,24.918,1002.98,35.1
71,2025-04-09 16:44:18.440,24.906,885.66,35.35
67,2025-04-09 16:44:18.443,-47.292,1002.96,35.35
68,2025-04-09 16:44:18.640,24.961,527.89,35.33
72,2025-04-09 16:44:18.642,-127.28,948.3,35.33
69,2025-04-09 16:44:18.823,24.966,1495.16,35.33
73,2025-04-09 16:44:18.827,24.966,1002.94,35.33
74,2025-04-09 16:44:19.039,24.853,1495.08,35.32
70,2025-04-09 16:44:19.111,24.853,1002.94,35.21
75,2025-04-09 16:44:19.239,24.937,1002.95,35.3
71,2025-04-09 16:44:19.315,24.951,1002.99,35.23
72,2025-04-09 16:44:19.443,-127.28,526.65,35.34
76,2025-04-09 16:44:19.446,-116.234,948.29,35.34
73,2025-04-09 16:44:19.640,25.002,866.59,35.34
77,2025-04-09 16:44:19.641,-30.713,1003.0,35.34
78,2025-04-09 16:44:19.804,24.901,982.64,35.33
74,2025-04-09 16:44:19.807,24.98,1002.99,35.33
75,2025-04-09 16:44:20.041,24.913,1002.96,35.36
79,2025-04-09 16:44:20.117,24.93,1003.0,35.24
80,2025-04-09 16:44:20.278,24.954,1002.94,35.13
76,2025-04-09 16:44:20.279,24.975,1002.95,35.13
81,2025-04-09 16:44:20.444,-42.994,604.85,35.35
77,2025-04-09 16:44:20.446,-28.259,907.17,35.35
78,2025-04-09 16:44:20.677,24.99,517.0,35.37
82,2025-04-09 16:44:20.680,24.944,948.22,35.37
83,2025-04-09 16:44:20.842,-127.28,526.78,35.36
79,2025-04-09 16:44:20.846,-116.234,948.31,35.36
84,2025-04-09 16:44:21.043,24.978,616.39,35.39
80,2025-04-09 16:44:21.048,-31.511,1002.96,35.39
85,2025-04-09 16:44:21.199,24.988,1002.96,35.39
81,2025-04-09 16:44:21.278,24.927,1002.93,35.28
82,2025-04-09 16:44:21.441,24.915,1002.93,35.34
86,2025-04-09 16:44:21.517,24.942,1002.93,35.27
83,2025-04-09 16:44:21.600,-31.942,617.21,35.28
87,2025-04-09 16:44:21.601,-28.259,907.17,35.28
88,2025-04-09 16:44:21.917,24.918,1002.96,35.17
84,2025-04-09 16:44:21.918,24.848,960.47,35.17
85,2025-04-09 16:44:22.045,-127.28,526.67,35.36
89,2025-04-09 16:44:22.047,-116.234,948.26,35.36
90,2025-04-09 16:44:22.200,25.009,1003.02,35.4
86,2025-04-09 16:44:22.281,24.975,1002.93,35.31
91,2025-04-09 16:44:22.444,24.992,607.55,35.39
87,2025-04-09 16:44:22.446,24.932,907.15,35.39
92,2025-04-09 16:44:22.644,-127.28,526.77,35.42
88,2025-04-09 16:44:22.647,-117.461,948.33,35.42
89,2025-04-09 16:44:22.881,24.949,849.9,35.41
93,2025-04-09 16:44:22.883,-25.8,1002.96,35.41
90,2025-04-09 16:44:23.084,25.004,517.01,35.19
94,2025-04-09 16:44:23.086,-6.817,1002.98,35.19
91,2025-04-09 16:44:23.243,24.937,1495.3,35.43
95,2025-04-09 16:44:23.246,24.999,1002.97,35.43
92,2025-04-09 16:44:23.446,24.927,873.74,35.43
96,2025-04-09 16:44:23.449,-41.766,1002.95,35.43
97,2025-04-09 16:44:23.647,-33.784,615.02,35.45
93,2025-04-09 16:44:23.649,-28.259,907.11,35.45
94,2025-04-09 16:44:23.843,24.988,1002.96,35.42
98,2025-04-09 16:44:23.920,24.997,1002.96,35.34
99,2025-04-09 16:44:24.029,25.019,1002.96,35.42
95,2025-04-09 16:44:24.030,25.019,1002.97,35.42
100,2025-04-09 16:44:24.247,-47.292,600.16,35.47
96,2025-04-09 16:44:24.249,-28.259,907.18,35.47
97,2025-04-09 16:44:24.480,24.939,932.32,35.47
101,2025-04-09 16:44:24.524,24.992,1002.92,35.23
98,2025-04-09 16:44:24.682,24.973,527.61,35.46
102,2025-04-09 16:44:24.686,-127.28,948.15,35.46
103,2025-04-09 16:44:24.919,24.99,636.47,35.48
99,2025-04-09 16:44:24.920,24.99,907.03,35.48
100,2025-04-09 16:44:25.047,-23.958,626.02,35.47
104,2025-04-09 16:44:25.049,-28.259,907.08,35.47
101,2025-04-09 16:44:25.246,24.997,1495.45,35.47
105,2025-04-09 16:44:25.319,24.997,1002.94,35.38
106,2025-04-09 16:44:25.421,25.04,1002.96,35.46
102,2025-04-09 16:44:25.423,25.04,1002.95,35.46
