Czas [UTC],Numer próbki,Surowe przyspieszenie Z [g],Przyspieszenie Z [g]
2025-04-08 22:07:17.824498,0,0.36923076923076925,0.0
2025-04-08 22:07:17.828100,1,0.3706959706959707,0.0
2025-04-08 22:07:17.831822,2,0.3706959706959707,0.0
2025-04-08 22:07:17.835421,3,0.3706959706959707,0.0
2025-04-08 22:07:17.838949,4,0.36996336996337,0.0
2025-04-08 22:07:17.842468,5,0.36996336996337,0.0
2025-04-08 22:07:17.845978,6,0.36996336996337,0.0
2025-04-08 22:07:17.849728,7,0.3677655677655678,0.0
2025-04-08 22:07:17.853435,8,0.3677655677655678,0.0
2025-04-08 22:07:17.856949,9,0.3684981684981685,0.0
2025-04-08 22:07:17.860672,10,0.3684981684981685,0.0
2025-04-08 22:07:17.864233,11,0.3684981684981685,0.0
2025-04-08 22:07:17.867732,12,0.36923076923076925,0.0
2025-04-08 22:07:17.871279,13,0.36923076923076925,0.0
2025-04-08 22:07:17.874794,14,0.36923076923076925,0.0
2025-04-08 22:07:17.878283,15,0.36996336996337,0.0
2025-04-08 22:07:17.881783,16,0.36996336996337,0.0
2025-04-08 22:07:17.885277,17,0.36996336996337,0.0
2025-04-08 22:07:17.888782,18,0.3706959706959707,0.0
2025-04-08 22:07:17.892472,19,0.3706959706959707,0.0
2025-04-08 22:07:17.896113,20,0.3706959706959707,0.0
2025-04-08 22:07:17.899657,21,0.3648351648351648,0.0
2025-04-08 22:07:17.903147,22,0.3648351648351648,0.0
2025-04-08 22:07:17.906640,23,0.3648351648351648,0.0
2025-04-08 22:07:17.910151,24,0.3648351648351648,0.0
2025-04-08 22:07:17.913645,25,0.37362637362637363,0.0
2025-04-08 22:07:17.917131,26,0.37362637362637363,0.0
2025-04-08 22:07:17.920907,27,0.37362637362637363,0.0
2025-04-08 22:07:17.924517,28,0.37362637362637363,0.0
2025-04-08 22:07:17.928030,29,0.37142857142857144,0.0
2025-04-08 22:07:17.931518,30,0.37142857142857144,0.0
2025-04-08 22:07:17.935013,31,0.37142857142857144,0.0
2025-04-08 22:07:17.938505,32,0.37142857142857144,0.0
2025-04-08 22:07:17.942002,33,0.37142857142857144,0.0
2025-04-08 22:07:17.945489,34,0.37142857142857144,0.0
2025-04-08 22:07:17.948984,35,0.3706959706959707,0.0
2025-04-08 22:07:17.952474,36,0.3706959706959707,0.0
2025-04-08 22:07:17.955961,37,0.3706959706959707,0.0
2025-04-08 22:07:17.959448,38,0.3706959706959707,0.0
2025-04-08 22:07:17.963021,39,0.3706959706959707,0.0
2025-04-08 22:07:17.966563,40,0.3706959706959707,0.0
2025-04-08 22:07:17.970067,41,0.37142857142857144,0.0
2025-04-08 22:07:17.973558,42,0.37142857142857144,0.0
2025-04-08 22:07:17.977069,43,0.37142857142857144,0.0
2025-04-08 22:07:17.980574,44,0.37216117216117217,0.0
2025-04-08 22:07:17.984070,45,0.37216117216117217,0.0
2025-04-08 22:07:17.987555,46,0.37216117216117217,0.0
2025-04-08 22:07:17.991044,47,0.36923076923076925,0.0
2025-04-08 22:07:17.994527,48,0.36923076923076925,0.0
2025-04-08 22:07:17.998019,49,0.36923076923076925,0.0
2025-04-08 22:07:18.001534,50,0.3706959706959707,0.0
2025-04-08 22:07:18.005038,51,0.3706959706959707,0.0
2025-04-08 22:07:18.008716,52,0.3677655677655678,0.0
2025-04-08 22:07:18.012532,53,0.3677655677655678,0.0
2025-04-08 22:07:18.016421,54,0.3677655677655678,0.0
2025-04-08 22:07:18.020224,55,0.36923076923076925,0.0
2025-04-08 22:07:18.023795,56,0.36923076923076925,0.0
2025-04-08 22:07:18.027297,57,0.36923076923076925,0.0
2025-04-08 22:07:18.030788,58,0.36556776556776555,0.0
2025-04-08 22:07:18.034323,59,0.36556776556776555,0.0
2025-04-08 22:07:18.037832,60,0.36556776556776555,0.0
2025-04-08 22:07:18.041365,61,0.36043956043956044,0.0
2025-04-08 22:07:18.044870,62,0.36043956043956044,0.0
2025-04-08 22:07:18.048360,63,0.37216117216117217,0.0
2025-04-08 22:07:18.051858,64,0.36336996336996336,0.0
2025-04-08 22:07:18.055369,65,0.36336996336996336,0.0
2025-04-08 22:07:18.058869,66,0.3663003663003663,0.0
2025-04-08 22:07:18.062361,67,0.3663003663003663,0.0
2025-04-08 22:07:18.065849,68,0.3663003663003663,0.0
2025-04-08 22:07:18.069336,69,0.3677655677655678,0.0
2025-04-08 22:07:18.072823,70,0.3677655677655678,0.0
2025-04-08 22:07:18.076311,71,0.3677655677655678,0.0
