Parameter,Value
Start Frequency,10
End Frequency,150
Frequency Duration,1
Smooth Transition,False
Pause Duration,0.5
Amplitude,0.2
Frequency Step,5
Total Duration,10
Gradual Amplitude Increase,False
Amplitude Rise Time,0.5
Amplitude Start,0.05
Amplitude End,0.5
Sample Rate,96000

Sample Number,Timestamp,Sine value,Frequency (Hz)
57121,2025-04-08 22:18:12.114,-0.0618,10
57601,2025-04-08 22:18:12.119,-0.0,10
58081,2025-04-08 22:18:12.124,0.0618,10
58561,2025-04-08 22:18:12.129,0.11756,10
59041,2025-04-08 22:18:12.134,0.1618,10
59521,2025-04-08 22:18:12.139,0.19021,10
60001,2025-04-08 22:18:12.144,0.2,10
60481,2025-04-08 22:18:12.149,0.19021,10
60961,2025-04-08 22:18:12.154,0.1618,10
61441,2025-04-08 22:18:12.159,0.11756,10
61921,2025-04-08 22:18:12.164,0.0618,10
62401,2025-04-08 22:18:12.169,-0.0,10
62881,2025-04-08 22:18:12.174,-0.0618,10
63361,2025-04-08 22:18:12.179,-0.11756,10
63841,2025-04-08 22:18:12.184,-0.1618,10
64321,2025-04-08 22:18:12.189,-0.19021,10
64801,2025-04-08 22:18:12.194,-0.2,10
65281,2025-04-08 22:18:12.199,-0.19021,10
65761,2025-04-08 22:18:12.204,-0.1618,10
66241,2025-04-08 22:18:12.209,-0.11756,10
66721,2025-04-08 22:18:12.214,-0.0618,10
67201,2025-04-08 22:18:12.219,-0.0,10
67681,2025-04-08 22:18:12.224,0.0618,10
68161,2025-04-08 22:18:12.229,0.11756,10
68641,2025-04-08 22:18:12.234,0.1618,10
69121,2025-04-08 22:18:12.239,0.19021,10
69601,2025-04-08 22:18:12.244,0.2,10
70081,2025-04-08 22:18:12.249,0.19021,10
70561,2025-04-08 22:18:12.254,0.1618,10
71041,2025-04-08 22:18:12.259,0.11756,10
71521,2025-04-08 22:18:12.264,0.0618,10
72001,2025-04-08 22:18:12.269,0.0,10
72481,2025-04-08 22:18:12.274,-0.0618,10
72961,2025-04-08 22:18:12.279,-0.11756,10
73441,2025-04-08 22:18:12.284,-0.1618,10
73921,2025-04-08 22:18:12.289,-0.19021,10
74401,2025-04-08 22:18:12.294,-0.2,10
74881,2025-04-08 22:18:12.299,-0.19021,10
75361,2025-04-08 22:18:12.304,-0.1618,10
75841,2025-04-08 22:18:12.309,-0.11756,10
76321,2025-04-08 22:18:12.314,-0.0618,10
76801,2025-04-08 22:18:12.319,-0.0,10
77281,2025-04-08 22:18:12.324,0.0618,10
77761,2025-04-08 22:18:12.329,0.11756,10
78241,2025-04-08 22:18:12.334,0.1618,10
78721,2025-04-08 22:18:12.339,0.19021,10
79201,2025-04-08 22:18:12.344,0.2,10
79681,2025-04-08 22:18:12.349,0.19021,10
80161,2025-04-08 22:18:12.354,0.1618,10
80641,2025-04-08 22:18:12.359,0.11756,10
81121,2025-04-08 22:18:12.364,0.0618,10
81601,2025-04-08 22:18:12.369,0.0,10
82081,2025-04-08 22:18:12.374,-0.0618,10
82561,2025-04-08 22:18:12.379,-0.11756,10
83041,2025-04-08 22:18:12.384,-0.1618,10
83521,2025-04-08 22:18:12.389,-0.19021,10
84001,2025-04-08 22:18:12.394,-0.2,10
84481,2025-04-08 22:18:12.399,-0.19021,10
84961,2025-04-08 22:18:12.404,-0.1618,10
85441,2025-04-08 22:18:12.409,-0.11756,10
85921,2025-04-08 22:18:12.414,-0.0618,10
86401,2025-04-08 22:18:12.419,-0.0,10
86881,2025-04-08 22:18:12.424,0.0618,10
87361,2025-04-08 22:18:12.429,0.11756,10
87841,2025-04-08 22:18:12.434,0.1618,10
88321,2025-04-08 22:18:12.439,0.19021,10
88801,2025-04-08 22:18:12.444,0.2,10
89281,2025-04-08 22:18:12.449,0.19021,10
89761,2025-04-08 22:18:12.454,0.1618,10
90241,2025-04-08 22:18:12.459,0.11756,10
90721,2025-04-08 22:18:12.464,0.0618,10
91201,2025-04-08 22:18:12.469,0.0,10
91681,2025-04-08 22:18:12.474,-0.0618,10
92161,2025-04-08 22:18:12.479,-0.11756,10
92641,2025-04-08 22:18:12.484,-0.1618,10
93121,2025-04-08 22:18:12.489,-0.19021,10
93601,2025-04-08 22:18:12.494,-0.2,10
94081,2025-04-08 22:18:12.499,-0.19021,10
94561,2025-04-08 22:18:12.504,-0.1618,10
95041,2025-04-08 22:18:12.509,-0.11756,10
95521,2025-04-08 22:18:12.514,-0.0618,10
96001,2025-04-08 22:18:12.519,0.0,15
96481,2025-04-08 22:18:12.524,0.0908,15
96961,2025-04-08 22:18:12.529,0.1618,15
97441,2025-04-08 22:18:12.534,0.19754,15
97921,2025-04-08 22:18:12.539,0.19021,15
98401,2025-04-08 22:18:12.544,0.14142,15
98881,2025-04-08 22:18:12.549,0.0618,15
99361,2025-04-08 22:18:12.554,-0.03129,15
99841,2025-04-08 22:18:12.559,-0.11756,15
100321,2025-04-08 22:18:12.564,-0.1782,15
100801,2025-04-08 22:18:12.569,-0.2,15
101281,2025-04-08 22:18:12.574,-0.1782,15
101761,2025-04-08 22:18:12.579,-0.11756,15
102241,2025-04-08 22:18:12.584,-0.03129,15
102721,2025-04-08 22:18:12.589,0.0618,15
103201,2025-04-08 22:18:12.594,0.14142,15
103681,2025-04-08 22:18:12.599,0.19021,15
104161,2025-04-08 22:18:12.604,0.19754,15
104641,2025-04-08 22:18:12.609,0.1618,15
105121,2025-04-08 22:18:12.614,0.0908,15
105601,2025-04-08 22:18:12.619,0.0,15
106081,2025-04-08 22:18:12.624,-0.0908,15
106561,2025-04-08 22:18:12.629,-0.1618,15
107041,2025-04-08 22:18:12.634,-0.19754,15
107521,2025-04-08 22:18:12.639,-0.19021,15
108001,2025-04-08 22:18:12.644,-0.14142,15
108481,2025-04-08 22:18:12.649,-0.0618,15
108961,2025-04-08 22:18:12.654,0.03129,15
109441,2025-04-08 22:18:12.659,0.11756,15
109921,2025-04-08 22:18:12.664,0.1782,15
110401,2025-04-08 22:18:12.669,0.2,15
110881,2025-04-08 22:18:12.674,0.1782,15
111361,2025-04-08 22:18:12.679,0.11756,15
111841,2025-04-08 22:18:12.684,0.03129,15
112321,2025-04-08 22:18:12.689,-0.0618,15
112801,2025-04-08 22:18:12.694,-0.14142,15
113281,2025-04-08 22:18:12.699,-0.19021,15
113761,2025-04-08 22:18:12.704,-0.19754,15
114241,2025-04-08 22:18:12.709,-0.1618,15
114721,2025-04-08 22:18:12.714,-0.0908,15
115201,2025-04-08 22:18:12.719,-0.0,15
115681,2025-04-08 22:18:12.724,0.0908,15
116161,2025-04-08 22:18:12.729,0.1618,15
116641,2025-04-08 22:18:12.734,0.19754,15
117121,2025-04-08 22:18:12.739,0.19021,15
117601,2025-04-08 22:18:12.744,0.14142,15
118081,2025-04-08 22:18:12.749,0.0618,15
118561,2025-04-08 22:18:12.754,-0.03129,15
119041,2025-04-08 22:18:12.759,-0.11756,15
119521,2025-04-08 22:18:12.764,-0.1782,15
120001,2025-04-08 22:18:12.769,-0.2,15
120481,2025-04-08 22:18:12.774,-0.1782,15
120961,2025-04-08 22:18:12.779,-0.11756,15
121441,2025-04-08 22:18:12.784,-0.03129,15
121921,2025-04-08 22:18:12.789,0.0618,15
122401,2025-04-08 22:18:12.794,0.14142,15
122881,2025-04-08 22:18:12.799,0.19021,15
123361,2025-04-08 22:18:12.804,0.19754,15
123841,2025-04-08 22:18:12.809,0.1618,15
124321,2025-04-08 22:18:12.814,0.0908,15
124801,2025-04-08 22:18:12.819,0.0,15
125281,2025-04-08 22:18:12.824,-0.0908,15
125761,2025-04-08 22:18:12.829,-0.1618,15
126241,2025-04-08 22:18:12.834,-0.19754,15
126721,2025-04-08 22:18:12.839,-0.19021,15
127201,2025-04-08 22:18:12.844,-0.14142,15
127681,2025-04-08 22:18:12.849,-0.0618,15
128161,2025-04-08 22:18:12.854,0.03129,15
128641,2025-04-08 22:18:12.859,0.11756,15
129121,2025-04-08 22:18:12.864,0.1782,15
129601,2025-04-08 22:18:12.869,0.2,15
