Sample Number,Timestamp,Temperature (°C),Pressure (hPa),Humidity (%)
5,2025-04-09 15:27:46.392,24.253,1397.96,35.65
1,2025-04-09 15:27:46.396,100.196,1003.62,35.65
2,2025-04-09 15:27:46.519,121.728,519.73,35.65
6,2025-04-09 15:27:46.522,24.337,949.9,35.65
3,2025-04-09 15:27:46.717,24.349,1003.63,35.66
7,2025-04-09 15:27:46.719,24.349,1003.63,35.66
4,2025-04-09 15:27:46.956,111.884,1003.62,35.64
8,2025-04-09 15:27:46.958,105.117,1003.62,35.64
9,2025-04-09 15:27:47.163,24.313,1003.63,35.43
5,2025-04-09 15:27:47.164,118.037,1409.82,35.43
10,2025-04-09 15:27:47.317,24.344,1003.65,35.65
6,2025-04-09 15:27:47.359,24.33,1003.65,35.44
7,2025-04-09 15:27:47.452,24.363,1003.65,35.58
11,2025-04-09 15:27:47.519,24.363,1003.64,35.49
12,2025-04-09 15:27:47.653,24.332,1003.64,35.64
8,2025-04-09 15:27:47.716,24.332,1003.63,35.49
13,2025-04-09 15:27:47.919,24.287,1003.63,35.65
9,2025-04-09 15:27:47.924,111.884,1003.63,35.65
14,2025-04-09 15:27:48.076,24.322,1003.62,35.65
10,2025-04-09 15:27:48.079,118.037,1003.63,35.65
15,2025-04-09 15:27:48.360,24.291,1003.63,35.43
11,2025-04-09 15:27:48.361,118.037,1550.38,35.43
12,2025-04-09 15:27:48.521,123.574,519.81,35.62
16,2025-04-09 15:27:48.528,-6.817,1003.64,35.62
17,2025-04-09 15:27:48.720,24.337,1003.64,35.66
13,2025-04-09 15:27:48.797,24.378,1003.65,35.52
14,2025-04-09 15:27:48.916,138.342,1003.64,35.64
18,2025-04-09 15:27:48.920,24.402,1003.64,35.64
15,2025-04-09 15:27:49.051,24.392,1003.64,35.62
19,2025-04-09 15:27:49.159,24.325,1003.64,35.59
16,2025-04-09 15:27:49.321,128.496,529.32,35.62
20,2025-04-09 15:27:49.323,-127.28,949.91,35.62
21,2025-04-09 15:27:49.559,24.349,1003.64,35.42
17,2025-04-09 15:27:49.560,24.368,1003.62,35.42
22,2025-04-09 15:27:49.719,24.342,1003.64,35.63
18,2025-04-09 15:27:49.721,24.387,1386.5,35.63
23,2025-04-09 15:27:49.924,-127.28,529.26,35.62
19,2025-04-09 15:27:49.925,-116.234,949.9,35.62
20,2025-04-09 15:27:50.118,141.419,1208.37,35.63
24,2025-04-09 15:27:50.122,24.414,1003.61,35.63
25,2025-04-09 15:27:50.361,24.337,1003.61,35.41
21,2025-04-09 15:27:50.362,138.342,1550.5,35.41
