Parameter,Value
Start Frequency,10.0
End Frequency,100.0
Frequency Duration,1.0
Smooth Transition,True
Pause Duration,1.0
Amplitude,0.25
Frequency Step,10.0
Total Duration,10.0
Gradual Amplitude Increase,False
Amplitude Rise Time,0.5
Amplitude Start,0.1
Amplitude End,0.2
Sample Rate,96000

Sample Number,Timestamp,Sine value,Frequency (Hz)
1,2025-04-09 15:27:45.647,0.0,10.0
481,2025-04-09 15:27:45.652,0.07759,10.05
961,2025-04-09 15:27:45.657,0.14809,10.09
1441,2025-04-09 15:27:45.662,0.20411,10.14
1921,2025-04-09 15:27:45.667,0.23945,10.18
2401,2025-04-09 15:27:45.672,0.24984,10.23
2881,2025-04-09 15:27:45.677,0.23353,10.27
3361,2025-04-09 15:27:45.682,0.1916,10.32
3841,2025-04-09 15:27:45.687,0.12807,10.36
4321,2025-04-09 15:27:45.692,0.04958,10.41
4801,2025-04-09 15:27:45.697,-0.03523,10.45
5281,2025-04-09 15:27:45.702,-0.1166,10.5
5761,2025-04-09 15:27:45.707,-0.1848,10.54
6241,2025-04-09 15:27:45.712,-0.23128,10.59
6721,2025-04-09 15:27:45.717,-0.24983,10.63
7201,2025-04-09 15:27:45.722,-0.23746,10.68
7681,2025-04-09 15:27:45.727,-0.19501,10.72
8161,2025-04-09 15:27:45.732,-0.12723,10.77
8641,2025-04-09 15:27:45.737,-0.04236,10.81
9121,2025-04-09 15:27:45.742,0.04873,10.86
9601,2025-04-09 15:27:45.747,0.13396,10.9
10081,2025-04-09 15:27:45.752,0.20154,10.95
10561,2025-04-09 15:27:45.757,0.24171,10.99
11041,2025-04-09 15:27:45.762,0.24822,11.04
11521,2025-04-09 15:27:45.767,0.21938,11.08
12001,2025-04-09 15:27:45.772,0.1586,11.13
12481,2025-04-09 15:27:45.777,0.07411,11.17
12961,2025-04-09 15:27:45.782,-0.022,11.22
13441,2025-04-09 15:27:45.787,-0.11545,11.26
13921,2025-04-09 15:27:45.792,-0.19185,11.31
14401,2025-04-09 15:27:45.797,-0.23895,11.35
14881,2025-04-09 15:27:45.802,-0.2487,11.4
15361,2025-04-09 15:27:45.807,-0.21877,11.44
15841,2025-04-09 15:27:45.812,-0.1532,11.49
16321,2025-04-09 15:27:45.817,-0.06202,11.53
16801,2025-04-09 15:27:45.822,0.04008,11.58
17281,2025-04-09 15:27:45.827,0.13607,11.62
17761,2025-04-09 15:27:45.832,0.2094,11.67
18241,2025-04-09 15:27:45.837,0.2469,11.71
18721,2025-04-09 15:27:45.842,0.24125,11.76
19201,2025-04-09 15:27:45.847,0.19263,11.8
19681,2025-04-09 15:27:45.852,0.10896,11.85
20161,2025-04-09 15:27:45.857,0.00487,11.89
20641,2025-04-09 15:27:45.862,-0.10076,11.94
21121,2025-04-09 15:27:45.867,-0.18815,11.98
21601,2025-04-09 15:27:45.872,-0.24035,12.03
22081,2025-04-09 15:27:45.877,-0.24665,12.07
22561,2025-04-09 15:27:45.882,-0.20497,12.12
23041,2025-04-09 15:27:45.887,-0.12263,12.16
23521,2025-04-09 15:27:45.892,-0.01534,12.21
24001,2025-04-09 15:27:45.897,0.09567,12.25
24481,2025-04-09 15:27:45.902,0.18776,12.3
24961,2025-04-09 15:27:45.907,0.24151,12.34
25441,2025-04-09 15:27:45.912,0.24496,12.39
25921,2025-04-09 15:27:45.917,0.19647,12.43
26401,2025-04-09 15:27:45.922,0.10555,12.48
26881,2025-04-09 15:27:45.927,-0.0088,12.52
27361,2025-04-09 15:27:45.932,-0.12185,12.57
27841,2025-04-09 15:27:45.937,-0.20843,12.61
28321,2025-04-09 15:27:45.942,-0.24861,12.66
28801,2025-04-09 15:27:45.947,-0.23244,12.7
29281,2025-04-09 15:27:45.952,-0.16269,12.75
29761,2025-04-09 15:27:45.957,-0.05469,12.79
30241,2025-04-09 15:27:45.962,0.06676,12.84
30721,2025-04-09 15:27:45.967,0.17296,12.88
31201,2025-04-09 15:27:45.972,0.23807,12.93
31681,2025-04-09 15:27:45.977,0.24554,12.97
32161,2025-04-09 15:27:45.982,0.1926,13.02
32641,2025-04-09 15:27:45.987,0.09145,13.06
33121,2025-04-09 15:27:45.992,-0.03324,13.11
33601,2025-04-09 15:27:45.997,-0.15011,13.15
34081,2025-04-09 15:27:46.002,-0.22895,13.2
34561,2025-04-09 15:27:46.007,-0.24867,13.24
35041,2025-04-09 15:27:46.012,-0.20315,13.29
35521,2025-04-09 15:27:46.017,-0.10345,13.33
36001,2025-04-09 15:27:46.022,0.02451,13.38
36481,2025-04-09 15:27:46.027,0.14644,13.42
36961,2025-04-09 15:27:46.032,0.22883,13.47
37441,2025-04-09 15:27:46.037,0.24824,13.51
37921,2025-04-09 15:27:46.042,0.19828,13.56
38401,2025-04-09 15:27:46.047,0.09203,13.6
38881,2025-04-09 15:27:46.052,-0.04101,13.65
39361,2025-04-09 15:27:46.057,-0.16284,13.69
39841,2025-04-09 15:27:46.062,-0.23778,13.74
40321,2025-04-09 15:27:46.067,-0.24306,13.78
40801,2025-04-09 15:27:46.072,-0.17608,13.83
41281,2025-04-09 15:27:46.077,-0.05591,13.87
41761,2025-04-09 15:27:46.082,0.08176,13.92
42241,2025-04-09 15:27:46.087,0.19501,13.96
42721,2025-04-09 15:27:46.092,0.24844,14.01
43201,2025-04-09 15:27:46.097,0.22451,14.05
43681,2025-04-09 15:27:46.102,0.12965,14.1
44161,2025-04-09 15:27:46.107,-0.00691,14.14
44641,2025-04-09 15:27:46.112,-0.14185,14.19
45121,2025-04-09 15:27:46.117,-0.23133,14.23
45601,2025-04-09 15:27:46.122,-0.24539,14.28
46081,2025-04-09 15:27:46.127,-0.17832,14.32
46561,2025-04-09 15:27:46.132,-0.05142,14.37
47041,2025-04-09 15:27:46.137,0.09335,14.41
47521,2025-04-09 15:27:46.142,0.20697,14.46
48001,2025-04-09 15:27:46.147,0.25,14.5
48481,2025-04-09 15:27:46.152,0.20657,14.55
48961,2025-04-09 15:27:46.157,0.09071,14.59
49441,2025-04-09 15:27:46.162,-0.05764,14.64
49921,2025-04-09 15:27:46.167,-0.18607,14.68
50401,2025-04-09 15:27:46.172,-0.24815,14.73
50881,2025-04-09 15:27:46.177,-0.2205,14.77
51361,2025-04-09 15:27:46.182,-0.11206,14.82
51841,2025-04-09 15:27:46.187,0.03818,14.86
52321,2025-04-09 15:27:46.192,0.1748,14.91
52801,2025-04-09 15:27:46.197,0.24628,14.95
53281,2025-04-09 15:27:46.202,0.22469,15.0
53761,2025-04-09 15:27:46.207,0.11712,15.04
54241,2025-04-09 15:27:46.212,-0.03605,15.09
54721,2025-04-09 15:27:46.217,-0.17578,15.13
55201,2025-04-09 15:27:46.222,-0.24707,15.18
55681,2025-04-09 15:27:46.227,-0.22087,15.22
56161,2025-04-09 15:27:46.232,-0.1064,15.27
56641,2025-04-09 15:27:46.237,0.05132,15.31
57121,2025-04-09 15:27:46.242,0.1888,15.36
57601,2025-04-09 15:27:46.247,0.24951,15.4
58081,2025-04-09 15:27:46.252,0.20745,15.45
58561,2025-04-09 15:27:46.257,0.07889,15.49
59041,2025-04-09 15:27:46.262,-0.08325,15.54
59521,2025-04-09 15:27:46.267,-0.21075,15.58
