Sample Number,Timestamp,Temperature (°C),Pressure (hPa),Humidity (%)
1,2025-04-09 15:28:54.716,24.572,1550.6,35.59
5,2025-04-09 15:28:54.718,117.421,1003.6,35.59
6,2025-04-09 15:28:54.953,24.371,1003.56,35.6
2,2025-04-09 15:28:54.954,130.342,648.93,35.6
7,2025-04-09 15:28:55.080,-127.28,528.89,35.57
3,2025-04-09 15:28:55.083,-117.461,949.71,35.57
4,2025-04-09 15:28:55.282,-127.28,528.81,35.61
8,2025-04-09 15:28:55.282,-116.234,949.68,35.61
5,2025-04-09 15:28:55.520,24.505,1325.97,35.37
9,2025-04-09 15:28:55.522,24.467,1003.61,35.37
10,2025-04-09 15:28:55.676,24.491,1336.48,35.59
6,2025-04-09 15:28:55.677,24.491,1003.56,35.59
7,2025-04-09 15:28:55.864,24.438,1003.57,35.57
11,2025-04-09 15:28:55.865,24.438,1003.57,35.57
12,2025-04-09 15:28:56.050,24.383,1003.57,35.57
8,2025-04-09 15:28:56.054,24.383,1003.53,35.57
13,2025-04-09 15:28:56.278,24.356,1003.55,35.59
9,2025-04-09 15:28:56.285,24.344,1003.54,35.59
10,2025-04-09 15:28:56.481,24.395,530.33,35.58
14,2025-04-09 15:28:56.482,-127.28,949.78,35.58
11,2025-04-09 15:28:56.662,24.419,1003.55,35.62
15,2025-04-09 15:28:56.666,24.419,1003.54,35.62
12,2025-04-09 15:28:56.878,24.402,1358.78,35.57
16,2025-04-09 15:28:56.921,24.366,1003.55,35.37
13,2025-04-09 15:28:57.118,24.406,519.38,35.58
17,2025-04-09 15:28:57.120,137.727,949.71,35.58
14,2025-04-09 15:28:57.321,-6.817,1003.56,35.37
18,2025-04-09 15:28:57.321,24.43,519.47,35.37
15,2025-04-09 15:28:57.477,24.438,1550.71,35.59
19,2025-04-09 15:28:57.480,24.438,1003.56,35.59
20,2025-04-09 15:28:57.718,24.375,1003.56,35.38
16,2025-04-09 15:28:57.719,142.035,1003.56,35.38
21,2025-04-09 15:28:57.878,24.416,1208.32,35.59
17,2025-04-09 15:28:57.882,24.416,1003.56,35.59
22,2025-04-09 15:28:58.076,24.402,1003.57,35.6
18,2025-04-09 15:28:58.079,24.402,1003.57,35.6
19,2025-04-09 15:28:58.279,24.375,1003.55,35.61
23,2025-04-09 15:28:58.283,24.366,1003.55,35.61
24,2025-04-09 15:28:58.478,24.399,519.53,35.58
20,2025-04-09 15:28:58.480,24.399,949.76,35.58
21,2025-04-09 15:28:58.617,24.395,1003.55,35.57
25,2025-04-09 15:28:58.722,24.373,1003.58,35.53
26,2025-04-09 15:28:58.884,-127.28,529.06,35.59
22,2025-04-09 15:28:58.887,-117.461,949.76,35.59
23,2025-04-09 15:28:59.018,24.467,1003.55,35.57
27,2025-04-09 15:28:59.121,24.462,1003.58,35.56
24,2025-04-09 15:28:59.283,24.491,528.91,35.56
28,2025-04-09 15:28:59.284,-127.28,949.72,35.56
25,2025-04-09 15:28:59.519,24.404,1494.09,35.58
29,2025-04-09 15:28:59.522,24.469,1003.61,35.58
26,2025-04-09 15:28:59.679,24.486,1243.17,35.58
30,2025-04-09 15:28:59.726,24.479,1003.59,35.37
31,2025-04-09 15:28:59.842,24.498,1003.57,35.57
27,2025-04-09 15:28:59.920,24.44,1003.58,35.48
28,2025-04-09 15:29:00.118,-6.817,1003.57,35.57
32,2025-04-09 15:29:00.119,24.438,519.2,35.57
33,2025-04-09 15:29:00.324,24.488,1003.58,35.35
29,2025-04-09 15:29:00.325,24.493,1550.9,35.35
30,2025-04-09 15:29:00.485,-127.28,528.81,35.58
34,2025-04-09 15:29:00.486,-116.234,949.69,35.58
31,2025-04-09 15:29:00.618,24.517,1494.22,35.56
35,2025-04-09 15:29:00.680,24.517,1003.56,35.4
32,2025-04-09 15:29:00.817,24.491,1003.56,35.58
36,2025-04-09 15:29:00.918,24.419,1003.58,35.54
37,2025-04-09 15:29:01.049,151.882,1003.59,35.57
33,2025-04-09 15:29:01.050,24.454,1003.57,35.57
38,2025-04-09 15:29:01.282,24.433,519.51,35.58
34,2025-04-09 15:29:01.290,-6.817,1003.56,35.58
35,2025-04-09 15:29:01.523,24.438,1550.74,35.36
39,2025-04-09 15:29:01.524,24.428,1003.59,35.36
36,2025-04-09 15:29:01.684,24.467,530.14,35.59
40,2025-04-09 15:29:01.685,-127.28,949.71,35.59
37,2025-04-09 15:29:01.959,24.469,1003.61,35.35
41,2025-04-09 15:29:01.961,24.457,1323.78,35.35
42,2025-04-09 15:29:02.018,24.503,1003.61,35.37
38,2025-04-09 15:29:02.124,24.488,1003.6,35.53
43,2025-04-09 15:29:02.287,-127.28,528.82,35.57
39,2025-04-09 15:29:02.289,-117.461,949.69,35.57
40,2025-04-09 15:29:02.521,24.481,519.02,35.56
44,2025-04-09 15:29:02.528,-6.817,1003.56,35.56
45,2025-04-09 15:29:02.713,24.503,1003.56,35.57
41,2025-04-09 15:29:02.759,164.193,1003.54,35.34
42,2025-04-09 15:29:02.885,-127.28,528.55,35.56
46,2025-04-09 15:29:02.889,-117.461,949.56,35.56
43,2025-04-09 15:29:03.159,174.044,1279.11,35.57
47,2025-04-09 15:29:03.163,24.507,1003.55,35.57
48,2025-04-09 15:29:03.221,24.562,1003.55,35.38
44,2025-04-09 15:29:03.282,24.562,1003.55,35.36
45,2025-04-09 15:29:03.523,24.406,529.94,35.57
49,2025-04-09 15:29:03.524,-127.28,949.62,35.57
50,2025-04-09 15:29:03.689,-127.28,528.63,35.56
46,2025-04-09 15:29:03.690,-117.461,949.61,35.56
47,2025-04-09 15:29:03.885,24.495,1003.6,35.57
48,2025-04-09 15:29:04.085,24.411,1003.59,35.56
49,2025-04-09 15:29:04.285,24.373,1003.55,35.56
50,2025-04-09 15:29:04.483,24.363,1003.55,35.55
