Parameter,Value
Start Frequency,10.0
End Frequency,100.0
Frequency Duration,1.0
Smooth Transition,True
Pause Duration,1.0
Amplitude,0.95
Frequency Step,10.0
Total Duration,10.0
Gradual Amplitude Increase,False
Amplitude Rise Time,0.5
Amplitude Start,0.1
Amplitude End,0.2
Sample Rate,96000

Sample Number,Timestamp,Sine value,Frequency (Hz)
1,2025-04-09 15:28:54.016,0.0,10.0
481,2025-04-09 15:28:54.021,0.29484,10.05
961,2025-04-09 15:28:54.026,0.56273,10.09
1441,2025-04-09 15:28:54.031,0.77561,10.14
1921,2025-04-09 15:28:54.036,0.90991,10.18
2401,2025-04-09 15:28:54.041,0.94941,10.23
2881,2025-04-09 15:28:54.046,0.8874,10.27
3361,2025-04-09 15:28:54.051,0.72807,10.32
3841,2025-04-09 15:28:54.056,0.48667,10.36
4321,2025-04-09 15:28:54.061,0.18841,10.41
4801,2025-04-09 15:28:54.066,-0.13386,10.45
5281,2025-04-09 15:28:54.071,-0.44308,10.5
5761,2025-04-09 15:28:54.076,-0.70225,10.54
6241,2025-04-09 15:28:54.081,-0.87888,10.59
6721,2025-04-09 15:28:54.086,-0.94935,10.63
7201,2025-04-09 15:28:54.091,-0.90234,10.68
7681,2025-04-09 15:28:54.096,-0.74104,10.72
8161,2025-04-09 15:28:54.101,-0.48346,10.77
8641,2025-04-09 15:28:54.106,-0.16098,10.81
9121,2025-04-09 15:28:54.111,0.18519,10.86
9601,2025-04-09 15:28:54.116,0.50904,10.9
10081,2025-04-09 15:28:54.121,0.76584,10.95
10561,2025-04-09 15:28:54.126,0.9185,10.99
11041,2025-04-09 15:28:54.131,0.94322,11.04
11521,2025-04-09 15:28:54.136,0.83364,11.08
12001,2025-04-09 15:28:54.141,0.60267,11.13
12481,2025-04-09 15:28:54.146,0.28162,11.17
12961,2025-04-09 15:28:54.151,-0.08361,11.22
13441,2025-04-09 15:28:54.156,-0.43872,11.26
13921,2025-04-09 15:28:54.161,-0.72903,11.31
14401,2025-04-09 15:28:54.166,-0.908,11.35
14881,2025-04-09 15:28:54.171,-0.94507,11.4
15361,2025-04-09 15:28:54.176,-0.83134,11.44
15841,2025-04-09 15:28:54.181,-0.58214,11.49
16321,2025-04-09 15:28:54.186,-0.23568,11.53
16801,2025-04-09 15:28:54.191,0.1523,11.58
17281,2025-04-09 15:28:54.196,0.51707,11.62
17761,2025-04-09 15:28:54.201,0.79573,11.67
18241,2025-04-09 15:28:54.206,0.93821,11.71
18721,2025-04-09 15:28:54.211,0.91676,11.76
19201,2025-04-09 15:28:54.216,0.73199,11.8
19681,2025-04-09 15:28:54.221,0.41405,11.85
20161,2025-04-09 15:28:54.226,0.0185,11.89
20641,2025-04-09 15:28:54.231,-0.3829,11.94
21121,2025-04-09 15:28:54.236,-0.71497,11.98
21601,2025-04-09 15:28:54.241,-0.91331,12.03
22081,2025-04-09 15:28:54.246,-0.93725,12.07
22561,2025-04-09 15:28:54.251,-0.77887,12.12
23041,2025-04-09 15:28:54.256,-0.46601,12.16
23521,2025-04-09 15:28:54.261,-0.05831,12.21
24001,2025-04-09 15:28:54.266,0.36355,12.25
24481,2025-04-09 15:28:54.271,0.7135,12.3
24961,2025-04-09 15:28:54.276,0.91773,12.34
25441,2025-04-09 15:28:54.281,0.93083,12.39
25921,2025-04-09 15:28:54.286,0.7466,12.43
26401,2025-04-09 15:28:54.291,0.40111,12.48
26881,2025-04-09 15:28:54.296,-0.03342,12.52
27361,2025-04-09 15:28:54.301,-0.46302,12.57
27841,2025-04-09 15:28:54.306,-0.79205,12.61
28321,2025-04-09 15:28:54.311,-0.94473,12.66
28801,2025-04-09 15:28:54.316,-0.88329,12.7
29281,2025-04-09 15:28:54.321,-0.61822,12.75
29761,2025-04-09 15:28:54.326,-0.20781,12.79
30241,2025-04-09 15:28:54.331,0.25371,12.84
30721,2025-04-09 15:28:54.336,0.65725,12.88
31201,2025-04-09 15:28:54.341,0.90465,12.93
31681,2025-04-09 15:28:54.346,0.93306,12.97
32161,2025-04-09 15:28:54.351,0.73189,13.02
32641,2025-04-09 15:28:54.356,0.34749,13.06
33121,2025-04-09 15:28:54.361,-0.12632,13.11
33601,2025-04-09 15:28:54.366,-0.5704,13.15
34081,2025-04-09 15:28:54.371,-0.87002,13.2
34561,2025-04-09 15:28:54.376,-0.94496,13.24
35041,2025-04-09 15:28:54.381,-0.77197,13.29
35521,2025-04-09 15:28:54.386,-0.39311,13.33
36001,2025-04-09 15:28:54.391,0.09312,13.38
36481,2025-04-09 15:28:54.396,0.55647,13.42
36961,2025-04-09 15:28:54.401,0.86954,13.47
37441,2025-04-09 15:28:54.406,0.94331,13.51
37921,2025-04-09 15:28:54.411,0.75347,13.56
38401,2025-04-09 15:28:54.416,0.34971,13.6
38881,2025-04-09 15:28:54.421,-0.15584,13.65
39361,2025-04-09 15:28:54.426,-0.6188,13.69
39841,2025-04-09 15:28:54.431,-0.90355,13.74
40321,2025-04-09 15:28:54.436,-0.92361,13.78
40801,2025-04-09 15:28:54.441,-0.6691,13.83
41281,2025-04-09 15:28:54.446,-0.21247,13.87
41761,2025-04-09 15:28:54.451,0.31069,13.92
42241,2025-04-09 15:28:54.456,0.74104,13.96
42721,2025-04-09 15:28:54.461,0.94408,14.01
43201,2025-04-09 15:28:54.466,0.85312,14.05
43681,2025-04-09 15:28:54.471,0.49267,14.1
44161,2025-04-09 15:28:54.476,-0.02627,14.14
44641,2025-04-09 15:28:54.481,-0.53904,14.19
45121,2025-04-09 15:28:54.486,-0.87905,14.23
45601,2025-04-09 15:28:54.491,-0.93246,14.28
46081,2025-04-09 15:28:54.496,-0.67763,14.32
46561,2025-04-09 15:28:54.501,-0.19541,14.37
47041,2025-04-09 15:28:54.506,0.35472,14.41
47521,2025-04-09 15:28:54.511,0.78649,14.46
48001,2025-04-09 15:28:54.516,0.95,14.5
48481,2025-04-09 15:28:54.521,0.78496,14.55
48961,2025-04-09 15:28:54.526,0.3447,14.59
49441,2025-04-09 15:28:54.531,-0.21903,14.64
49921,2025-04-09 15:28:54.536,-0.70706,14.68
50401,2025-04-09 15:28:54.541,-0.94297,14.73
50881,2025-04-09 15:28:54.546,-0.83789,14.77
51361,2025-04-09 15:28:54.551,-0.42582,14.82
51841,2025-04-09 15:28:54.556,0.14509,14.86
52321,2025-04-09 15:28:54.561,0.66423,14.91
52801,2025-04-09 15:28:54.566,0.93586,14.95
53281,2025-04-09 15:28:54.571,0.85384,15.0
53761,2025-04-09 15:28:54.576,0.44505,15.04
54241,2025-04-09 15:28:54.581,-0.13698,15.09
54721,2025-04-09 15:28:54.586,-0.66795,15.13
55201,2025-04-09 15:28:54.591,-0.93888,15.18
55681,2025-04-09 15:28:54.596,-0.83929,15.22
56161,2025-04-09 15:28:54.601,-0.40434,15.27
56641,2025-04-09 15:28:54.606,0.195,15.31
57121,2025-04-09 15:28:54.611,0.71743,15.36
57601,2025-04-09 15:28:54.616,0.94813,15.4
58081,2025-04-09 15:28:54.621,0.78831,15.45
58561,2025-04-09 15:28:54.626,0.29978,15.49
59041,2025-04-09 15:28:54.631,-0.31634,15.54
59521,2025-04-09 15:28:54.636,-0.80084,15.58
60001,2025-04-09 15:28:54.641,-0.94542,15.63
60481,2025-04-09 15:28:54.646,-0.68386,15.67
60961,2025-04-09 15:28:54.651,-0.12482,15.72
61441,2025-04-09 15:28:54.656,0.49078,15.76
61921,2025-04-09 15:28:54.661,0.89227,15.81
62401,2025-04-09 15:28:54.666,0.89877,15.85
62881,2025-04-09 15:28:54.671,0.50283,15.9
63361,2025-04-09 15:28:54.676,-0.12146,15.94
63841,2025-04-09 15:28:54.681,-0.69264,15.99
64321,2025-04-09 15:28:54.686,-0.94816,16.03
64801,2025-04-09 15:28:54.691,-0.76635,16.08
65281,2025-04-09 15:28:54.696,-0.22697,16.12
65761,2025-04-09 15:28:54.701,0.42078,16.17
66241,2025-04-09 15:28:54.706,0.87164,16.21
66721,2025-04-09 15:28:54.711,0.90848,16.26
67201,2025-04-09 15:28:54.716,0.50901,16.3
67681,2025-04-09 15:28:54.721,-0.13817,16.35
68161,2025-04-09 15:28:54.726,-0.72007,16.39
68641,2025-04-09 15:28:54.731,-0.94998,16.44
69121,2025-04-09 15:28:54.736,-0.71021,16.48
69601,2025-04-09 15:28:54.741,-0.11534,16.53
