Parameter,Value
Start Frequency,10.0
End Frequency,100.0
Frequency Duration,1.0
Smooth Transition,True
Pause Duration,1.0
Amplitude,0.45
Frequency Step,10.0
Total Duration,60.0
Gradual Amplitude Increase,False
Amplitude Rise Time,0.5
Amplitude Start,0.1
Amplitude End,0.2
Sample Rate,96000

Sample Number,Timestamp,Sine value,Frequency (Hz)
1,2025-04-09 15:31:31.901,0.0,10.0
481,2025-04-09 15:31:31.906,0.13916,10.01
961,2025-04-09 15:31:31.911,0.26485,10.02
1441,2025-04-09 15:31:31.916,0.36462,10.02
1921,2025-04-09 15:31:31.921,0.4285,10.03
2401,2025-04-09 15:31:31.926,0.44999,10.04
2881,2025-04-09 15:31:31.931,0.42678,10.05
3361,2025-04-09 15:31:31.936,0.36098,10.05
3841,2025-04-09 15:31:31.941,0.25898,10.06
4321,2025-04-09 15:31:31.946,0.13086,10.07
4801,2025-04-09 15:31:31.951,-0.0106,10.08
5281,2025-04-09 15:31:31.956,-0.1512,10.08
5761,2025-04-09 15:31:31.961,-0.2767,10.09
6241,2025-04-09 15:31:31.966,-0.3743,10.1
6721,2025-04-09 15:31:31.971,-0.43394,10.11
7201,2025-04-09 15:31:31.976,-0.44937,10.11
7681,2025-04-09 15:31:31.981,-0.41881,10.12
8161,2025-04-09 15:31:31.986,-0.34522,10.13
8641,2025-04-09 15:31:31.991,-0.23597,10.14
9121,2025-04-09 15:31:31.996,-0.1022,10.14
9601,2025-04-09 15:31:32.001,0.04235,10.15
10081,2025-04-09 15:31:32.006,0.1827,10.16
10561,2025-04-09 15:31:32.011,0.30421,10.17
11041,2025-04-09 15:31:32.016,0.39412,10.17
11521,2025-04-09 15:31:32.021,0.44285,10.18
12001,2025-04-09 15:31:32.026,0.44513,10.19
12481,2025-04-09 15:31:32.031,0.4005,10.2
12961,2025-04-09 15:31:32.036,0.31349,10.2
13441,2025-04-09 15:31:32.041,0.19313,10.21
13921,2025-04-09 15:31:32.046,0.05208,10.22
14401,2025-04-09 15:31:32.051,-0.09471,10.23
14881,2025-04-09 15:31:32.056,-0.23159,10.23
15361,2025-04-09 15:31:32.061,-0.34383,10.24
15841,2025-04-09 15:31:32.066,-0.41927,10.25
16321,2025-04-09 15:31:32.071,-0.44961,10.26
16801,2025-04-09 15:31:32.076,-0.43139,10.26
17281,2025-04-09 15:31:32.081,-0.36637,10.27
17761,2025-04-09 15:31:32.086,-0.26143,10.28
18241,2025-04-09 15:31:32.091,-0.12785,10.29
18721,2025-04-09 15:31:32.096,0.01989,10.29
19201,2025-04-09 15:31:32.101,0.16566,10.3
19681,2025-04-09 15:31:32.106,0.29341,10.31
20161,2025-04-09 15:31:32.111,0.38898,10.32
20641,2025-04-09 15:31:32.116,0.44167,10.32
21121,2025-04-09 15:31:32.121,0.44547,10.33
21601,2025-04-09 15:31:32.126,0.39974,10.34
22081,2025-04-09 15:31:32.131,0.30938,10.35
22561,2025-04-09 15:31:32.136,0.18431,10.35
23041,2025-04-09 15:31:32.141,0.03841,10.36
23521,2025-04-09 15:31:32.146,-0.11201,10.37
24001,2025-04-09 15:31:32.151,-0.25001,10.38
24481,2025-04-09 15:31:32.156,-0.35992,10.38
24961,2025-04-09 15:31:32.161,-0.42918,10.39
25441,2025-04-09 15:31:32.166,-0.44975,10.4
25921,2025-04-09 15:31:32.171,-0.41907,10.41
26401,2025-04-09 15:31:32.176,-0.34046,10.41
26881,2025-04-09 15:31:32.181,-0.22271,10.42
27361,2025-04-09 15:31:32.186,-0.07921,10.43
27841,2025-04-09 15:31:32.191,0.07361,10.44
28321,2025-04-09 15:31:32.196,0.21812,10.44
28801,2025-04-09 15:31:32.201,0.33755,10.45
29281,2025-04-09 15:31:32.206,0.41792,10.46
29761,2025-04-09 15:31:32.211,0.4497,10.47
30241,2025-04-09 15:31:32.216,0.42898,10.47
30721,2025-04-09 15:31:32.221,0.35798,10.48
31201,2025-04-09 15:31:32.226,0.24484,10.49
31681,2025-04-09 15:31:32.231,0.10271,10.5
32161,2025-04-09 15:31:32.236,-0.05173,10.5
32641,2025-04-09 15:31:32.241,-0.20025,10.51
33121,2025-04-09 15:31:32.246,-0.32519,10.52
33601,2025-04-09 15:31:32.251,-0.41157,10.53
34081,2025-04-09 15:31:32.256,-0.44893,10.53
34561,2025-04-09 15:31:32.261,-0.4326,10.54
35041,2025-04-09 15:31:32.266,-0.36433,10.55
35521,2025-04-09 15:31:32.271,-0.25212,10.56
36001,2025-04-09 15:31:32.276,-0.10934,10.56
36481,2025-04-09 15:31:32.281,0.04685,10.57
36961,2025-04-09 15:31:32.286,0.19756,10.58
37441,2025-04-09 15:31:32.291,0.32443,10.59
37921,2025-04-09 15:31:32.296,0.4119,10.59
38401,2025-04-09 15:31:32.301,0.44911,10.6
38881,2025-04-09 15:31:32.306,0.4313,10.61
39361,2025-04-09 15:31:32.311,0.36045,10.62
39841,2025-04-09 15:31:32.316,0.24508,10.62
40321,2025-04-09 15:31:32.321,0.09927,10.63
40801,2025-04-09 15:31:32.326,-0.05903,10.64
41281,2025-04-09 15:31:32.331,-0.21019,10.65
41761,2025-04-09 15:31:32.336,-0.33537,10.65
42241,2025-04-09 15:31:32.341,-0.41881,10.66
42721,2025-04-09 15:31:32.346,-0.44992,10.67
43201,2025-04-09 15:31:32.351,-0.42458,10.68
