Sample Number,Timestamp,Temperature (°C),Pressure (hPa),Humidity (%)
1,2025-04-09 15:31:32.709,24.433,1222.56,35.5
6,2025-04-09 15:31:32.822,24.517,1003.59,35.49
2,2025-04-09 15:31:32.922,24.529,1003.58,35.46
7,2025-04-09 15:31:33.027,24.584,1003.57,35.48
3,2025-04-09 15:31:33.113,24.567,1003.58,35.47
8,2025-04-09 15:31:33.221,24.608,1003.6,35.5
4,2025-04-09 15:31:33.311,24.591,518.3,35.45
9,2025-04-09 15:31:33.382,-31.735,1003.57,35.37
5,2025-04-09 15:31:33.516,24.536,1003.58,35.5
10,2025-04-09 15:31:33.584,24.536,1003.59,35.38
6,2025-04-09 15:31:33.712,24.519,1003.57,35.49
11,2025-04-09 15:31:33.784,24.519,1003.58,35.39
7,2025-04-09 15:31:33.911,24.519,1003.56,35.48
12,2025-04-09 15:31:34.025,24.582,1003.56,35.48
13,2025-04-09 15:31:34.114,24.572,1003.58,35.46
8,2025-04-09 15:31:34.182,24.572,1003.58,35.34
14,2025-04-09 15:31:34.386,24.536,1551.19,35.48
9,2025-04-09 15:31:34.387,24.536,1003.59,35.48
15,2025-04-09 15:31:34.624,24.587,1003.58,35.27
10,2025-04-09 15:31:34.625,24.529,1279.16,35.27
11,2025-04-09 15:31:34.753,24.596,1158.1,35.47
16,2025-04-09 15:31:34.754,-126.454,1003.58,35.47
12,2025-04-09 15:31:35.027,24.611,534.81,35.48
17,2025-04-09 15:31:35.028,24.611,907.83,35.48
18,2025-04-09 15:31:35.188,24.642,1003.55,35.47
13,2025-04-09 15:31:35.191,24.603,1003.56,35.47
14,2025-04-09 15:31:35.386,24.601,1244.57,35.47
19,2025-04-09 15:31:35.388,24.601,1003.57,35.47
15,2025-04-09 15:31:35.513,24.562,1003.59,35.44
20,2025-04-09 15:31:35.625,24.613,1003.58,35.42
21,2025-04-09 15:31:35.788,24.599,528.26,35.5
16,2025-04-09 15:31:35.790,24.632,907.87,35.5
22,2025-04-09 15:31:35.960,-117.866,527.66,35.48
17,2025-04-09 15:31:35.961,-28.259,907.87,35.48
23,2025-04-09 15:31:36.189,24.618,529.14,35.51
18,2025-04-09 15:31:36.191,-127.28,949.35,35.51
24,2025-04-09 15:31:36.387,24.623,1241.51,35.51
19,2025-04-09 15:31:36.430,24.651,1003.6,35.25
25,2025-04-09 15:31:36.556,-116.64,528.85,35.46
20,2025-04-09 15:31:36.558,-28.259,907.85,35.46
26,2025-04-09 15:31:36.754,24.63,1003.55,35.48
21,2025-04-09 15:31:36.831,24.649,1003.56,35.37
22,2025-04-09 15:31:36.915,-107.438,527.07,35.37
27,2025-04-09 15:31:36.916,-28.259,907.86,35.37
28,2025-04-09 15:31:37.230,24.587,1003.57,35.25
