Czas [UTC],Numer próbki,Surowe przyspieszenie Z [g],Przyspieszenie Z [g]
2025-04-09 15:31:32.209734,0,0.3677655677655678,0.0
2025-04-09 15:31:32.214364,1,0.3684981684981685,0.0
2025-04-09 15:31:32.218703,2,0.3684981684981685,0.0
2025-04-09 15:31:32.222955,3,0.3684981684981685,0.0
2025-04-09 15:31:32.227005,4,0.37142857142857144,0.0
2025-04-09 15:31:32.231700,5,0.37142857142857144,0.0
2025-04-09 15:31:32.235853,6,0.37216117216117217,0.0
2025-04-09 15:31:32.239867,7,0.37216117216117217,0.0
2025-04-09 15:31:32.243957,8,0.367032967032967,0.0
2025-04-09 15:31:32.247967,9,0.367032967032967,0.0
2025-04-09 15:31:32.251981,10,0.367032967032967,0.0
2025-04-09 15:31:32.255959,11,0.36923076923076925,0.0
2025-04-09 15:31:32.259986,12,0.36923076923076925,0.0
2025-04-09 15:31:32.264577,13,0.37362637362637363,0.0
2025-04-09 15:31:32.269231,14,0.37362637362637363,0.0
2025-04-09 15:31:32.275219,15,0.37362637362637363,0.0
2025-04-09 15:31:32.284689,16,0.37142857142857144,0.0
2025-04-09 15:31:32.295938,17,0.37142857142857144,0.0
2025-04-09 15:31:32.306452,18,0.36996336996337,0.0
2025-04-09 15:31:32.317412,19,0.36996336996337,0.0
2025-04-09 15:31:32.333195,20,0.36996336996337,0.0
2025-04-09 15:31:32.337947,21,0.37142857142857144,0.0
2025-04-09 15:31:32.342579,22,0.37142857142857144,0.0
2025-04-09 15:31:32.352425,23,0.37142857142857144,0.0
2025-04-09 15:31:32.357132,24,0.36923076923076925,0.0
2025-04-09 15:31:32.361930,25,0.36923076923076925,0.0
2025-04-09 15:31:32.366602,26,0.36996336996337,0.0
2025-04-09 15:31:32.370848,27,0.36996336996337,0.0
2025-04-09 15:31:32.375129,28,0.36996336996337,0.0
2025-04-09 15:31:32.379544,29,0.37435897435897436,0.0
2025-04-09 15:31:32.383802,30,0.37435897435897436,0.0
2025-04-09 15:31:32.389538,31,0.37216117216117217,0.0
2025-04-09 15:31:32.395793,32,0.37216117216117217,0.0
2025-04-09 15:31:32.400324,33,0.3758241758241758,0.0
2025-04-09 15:31:32.405215,34,0.3758241758241758,0.0
2025-04-09 15:31:32.409618,35,0.3758241758241758,0.0
2025-04-09 15:31:32.416534,36,0.3641025641025641,0.0
2025-04-09 15:31:32.422542,37,0.37435897435897436,0.0
2025-04-09 15:31:32.426954,38,0.37216117216117217,0.0
2025-04-09 15:31:32.431302,39,0.37216117216117217,0.0
2025-04-09 15:31:32.436631,40,0.37216117216117217,0.0
2025-04-09 15:31:32.442136,41,0.3648351648351648,0.0
2025-04-09 15:31:32.447861,42,0.367032967032967,0.0
2025-04-09 15:31:32.453124,43,0.367032967032967,0.0
2025-04-09 15:31:32.457448,44,0.3684981684981685,0.0
2025-04-09 15:31:32.464037,45,0.3684981684981685,0.0
2025-04-09 15:31:32.468666,46,0.36996336996337,0.0
2025-04-09 15:31:32.473691,47,0.36996336996337,0.0
2025-04-09 15:31:32.478840,48,0.37435897435897436,0.0
2025-04-09 15:31:32.483988,49,0.37435897435897436,0.0
2025-04-09 15:31:32.489037,50,0.37216117216117217,0.0
2025-04-09 15:31:32.493994,51,0.37216117216117217,0.0
2025-04-09 15:31:32.498854,52,0.3706959706959707,0.0
2025-04-09 15:31:32.504263,53,0.3706959706959707,0.0
2025-04-09 15:31:32.509242,54,0.37435897435897436,0.0
2025-04-09 15:31:32.514369,55,0.37435897435897436,0.0
2025-04-09 15:31:32.519894,56,0.37216117216117217,0.0
2025-04-09 15:31:32.525035,57,0.37216117216117217,0.0
2025-04-09 15:31:32.530217,58,0.37216117216117217,0.0
2025-04-09 15:31:32.534502,59,0.37216117216117217,0.0
2025-04-09 15:31:32.538335,60,0.37142857142857144,0.0
2025-04-09 15:31:32.542261,61,0.37142857142857144,0.0
2025-04-09 15:31:32.546412,62,0.37142857142857144,0.0
2025-04-09 15:31:32.550229,63,0.3677655677655678,0.0
2025-04-09 15:31:32.554077,64,0.3677655677655678,0.0
2025-04-09 15:31:32.557907,65,0.36923076923076925,0.0
2025-04-09 15:31:32.561770,66,0.36923076923076925,0.0
2025-04-09 15:31:32.565610,67,0.36923076923076925,0.0
2025-04-09 15:31:32.569660,68,0.36923076923076925,0.0
2025-04-09 15:31:32.573457,69,0.36923076923076925,0.0
2025-04-09 15:31:32.578277,70,0.38168498168498166,0.0
2025-04-09 15:31:32.582036,71,0.38168498168498166,0.0
2025-04-09 15:31:32.585839,72,0.38168498168498166,0.0
2025-04-09 15:31:32.589639,73,0.37655677655677655,0.0
2025-04-09 15:31:32.593415,74,0.37655677655677655,0.0
2025-04-09 15:31:32.597251,75,0.37655677655677655,0.0
2025-04-09 15:31:32.601037,76,0.37142857142857144,0.0
2025-04-09 15:31:32.604888,77,0.37142857142857144,0.0
2025-04-09 15:31:32.608742,78,0.3706959706959707,0.0
2025-04-09 15:31:32.612571,79,0.3706959706959707,0.0
2025-04-09 15:31:32.616398,80,0.3706959706959707,0.0
2025-04-09 15:31:32.620602,81,0.367032967032967,0.0
2025-04-09 15:31:32.624451,82,0.367032967032967,0.0
2025-04-09 15:31:32.628456,83,0.3677655677655678,0.0
